deal_id;type;content
*       72;BIDS;    1K        1P      passe     passe   
*       72;RULE;    17       190                        
*       72;BIDS;  passe   
*       72;RULE;          
*       73;DEAL;Q874-93-K2-JT842, KJT32-J7543-AK6, 6-KJ87654-A98-Q3, A95-AQT2-QT6-975
*       73;DIRS;  North      East     South      West
*       73;BIDS;  passe       1P        3C        1T    
*       73;RULE;              16        23        17    
*       73;BIDS;  passe     passe     passe   
*       73;RULE;                              
*       74;DEAL;K83-732-AQ764-T4, 76-JT94-83-AK862, QT54-Q86-T952-Q5, AJ92-AK5-KJ-J973
*       74;DIRS;  North      East     South      West
*       74;BIDS;  passe     passe     passe      1SA    
*       74;RULE;                                  10    
*       74;BIDS;  passe       2T      passe       2P    
*       74;RULE;             272                 303    
*       74;BIDS;  passe       3P      passe       4P    
*       74;RULE;             315                 335    
*       74;BIDS;  passe     passe     passe   
*       74;RULE;                              
*       75;DEAL;T97542-KQJ3-Q84, Q3-9732-72-T9763, AKJ-A86-A984-K52, 86-KQJT54-T65-AJ
*       75;DIRS;  North      East     South      West
*       75;BIDS;  passe     passe       1K        1C    
*       75;RULE;                        17        19    
*       75;BIDS;    1P      passe       2T      passe   
*       75;RULE;    19                  40              
*       75;BIDS;  passe     passe   
*       75;RULE;                    
*       76;DEAL;AQJ98-62-T-98653, KT2-T9-AQJ92-KT4, 4-KQ8-K8653-AQJ2, 7653-AJ7543-74-7
*       76;DIRS;  North      East     South      West
*       76;BIDS;  passe       1K        1K      passe   
*       76;RULE;              17        17              
*       76;BIDS;  passe     passe   
*       76;RULE;                    
*       77;DEAL;65-JT752-J965-74, A7-A-AT874-KQT32, KT9842-Q84-K3-A6, QJ3-K963-Q2-J985
*       77;DIRS;  North      East     South      West
*       77;BIDS;  passe       1K        1P      passe   
*       77;RULE;              17        16              
*       77;BIDS;  passe     passe   
*       77;RULE;                    
*       78;DEAL;J3-AQ-AKQJ9542-Q, A62-K6-T3-KT9864, QT9-T87543-86-52, K8754-J92-7-AJ73
*       78;DIRS;  North      East     South      West
*       78;BIDS;    1K        2T      passe     passe   
*       78;RULE;    17       191                        
*       78;BIDS;  passe   
*       78;RULE;          
*       79;DEAL;K43-AJ9643-87-83, AJ5-T852-A92-QT2, Q962-7-J43-AK976, T87-KQ-KQT65-J54
*       79;DIRS;  North      East     South      West
*       79;BIDS;    2C      passe     passe     passe   
*       79;RULE;    22                                  
